Mã MH	Tên Môn Học	Tên Lớp	Số TC	Sĩ Số	Đã ĐK	Khóa	Lịch Học	Nhóm TH	Nhóm BT	Địa Điểm	
BAA00103	Chủ nghĩa xã hội khoa học	24DTV2	2	96	68	2024	T2(1-4)-P.cs2:F301	N/A	N/A	LT
BAA00103	Chủ nghĩa xã hội khoa học	24ICD1	2	100	64	2024	T7(6-9)-P.cs2:E103	N/A	N/A	LT
BAA00104	Lịch sử Đảng Cộng sản Việt Nam	23_1	2	96	0	2023	T4(6-9)-P.cs2:F201	N/A	N/A	LT
BAA00104	Lịch sử Đảng Cộng sản Việt Nam	23_2	2	96	0	2023	T7(6-9)-P.cs2:F208	N/A	N/A	LT
BAA00104	Lịch sử Đảng Cộng sản Việt Nam	24DCH1	2	100	61	2024	T5(6-9)-P.cs2:E201	N/A	N/A	LT
BAA00104	Lịch sử Đảng Cộng sản Việt Nam	24DTV1	2	100	67	2024	T6(6-9)-P.cs2:E202	N/A	N/A	LT
BAA00104	Lịch sử Đảng Cộng sản Việt Nam	24DTV2	2	96	68	2024	T2(1-4)-P.cs2:F301	N/A	N/A	LT
BIO00001	Sinh đại cương 1	24_1	3	104	0	2024	T7(6-9)-P.cs2:E106	N/A	N/A	LT
BIO00001	Sinh đại cương 1	24HDH1	3	96	54	2024	T6(6-9)-P.cs2:F107	N/A	N/A	LT
BIO00001	Sinh đại cương 1	24KVL1	3	120	72	2024	T4(6-9)-P.cs2:D108	N/A	N/A	LT
BIO00001	Sinh đại cương 1	24KVL2	3	120	72	2024	T4(1-4)-P.cs2:D103	N/A	N/A	LT
BIO00002	Sinh đại cương 2	24CSH1	3	96	64	2024	T6(1-4)-P.cs2:F201	N/A	N/A	LT
BIO00002	Sinh đại cương 2	24CSH2	3	96	65	2024	T7(1-4)-P.cs2:F201	N/A	N/A	LT
BIO00002	Sinh đại cương 2	24CSH3	3	96	68	2024	T3(6-9)-P.cs2:F107	N/A	N/A	LT
BIO00002	Sinh đại cương 2	24SHH1	3	100	68	2024	T2(1-4)-P.cs2:D106	N/A	N/A	LT
BIO00002	Sinh đại cương 2	24SHH2	3	120	68	2024	T2(6-9)-P.cs2:E103	N/A	N/A	LT
BIO00002	Sinh đại cương 2	24SHH3	3	96	68	2024	T6(6-9)-P.cs2:F201	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24CSH1A	1	45	32	2024	T2(3-5)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24CSH1B	1	45	32	2024	T2(1-3)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24CSH2A	1	45	34	2024	T2(6-8)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24CSH2B	1	45	31	2024	T2(8-10)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24CSH3A	1	45	34	2024	T4(1-3)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24CSH3B	1	45	34	2024	T4(3-5)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24SHH1A	1	45	34	2024	T3(1-3)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24SHH1B	1	45	34	2024	T3(3-5)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24SHH2A	1	45	33	2024	T3(6-8)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24SHH2B	1	45	35	2024	T3(8-10)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24SHH3A	1	45	34	2024	T4(6-8)-P.cs2:TNSDC2_A104	N/A	N/A	LT
BIO00082	Thực tập Sinh đại cương 2	24SHH3B	1	45	34	2024	T4(8-10)-P.cs2:TNSDC2_A104	N/A	N/A	LT
CHE00001	Hóa đại cương 1	24CBD1	3	120	98	2024	T7(1-4)-P.cs2:F106	N/A	3	LT
CHE00001	Hóa đại cương 1	24CMT1	3	120	60	2024	T2(1-4)-P.cs2:F104	N/A	2	LT
CHE00001	Hóa đại cương 1	24CMT2	3	120	58	2024	T5(1-4)-P.cs2:F204	N/A	2	LT
CHE00001	Hóa đại cương 1	24CVD1	3	120	65	2024	T6(1-4)-P.cs2:F106	N/A	2	LT
CHE00001	Hóa đại cương 1	24KMT1	3	120	67	2024	T3(1-4)-P.cs2:F205	N/A	3	LT
CHE00001	Hóa đại cương 1	24KMT2	3	120	69	2024	T3(6-9)-P.cs2:F205	N/A	3	LT
CHE00001	Hóa đại cương 1	24QMT1	3	120	93	2024	T2(6-9)-P.cs2:F103	N/A	3	LT
CHE00001	Hóa đại cương 1	24VLH1	3	120	90	2024	T4(1-4)-P.cs2:D108	N/A	3	LT
CHE00001	Hóa đại cương 1	24VLH2	3	120	65	2024	T5(1-4)-P.cs2:F205	N/A	3	LT
CHE00001	Hóa đại cương 1	24VYK1	3	120	66	2024	T6(6-9)-P.cs2:F207	N/A	2	LT
