Viet	Unicode Hex	VNI	VNI Hex	VPS	VPS Hex	VISCII	VISCII Hex	TCVN3	TCVN3 Hex	VIQR	English Name
ẩ	U+001EA9	aå	61 E5	Ä	C4	¦	A6	È	C8	a^?	LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
Ầ	U+001EA6	AÀ	41 C0	„	84	…	85	¢Ç	A2 C7	A^`	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
ầ	U+001EA7	aà	61 E0	À	C0	¥	A5	Ç	C7	a^`	LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
Ẫ	U+001EAA	AÃ	41 C3		1C		6	¢É	A2 C9	A^~	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
ẫ	U+001EAB	aã	61 E3	Å	C5	ç	E7	É	C9	a^~	LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
À	U+0000C0	AØ	41 D8	€	80	À	C0	Aµ	41 B5	A`	LATIN CAPITAL LETTER A WITH GRAVE
à	U+0000E0	aø	61 F8	à	E0	à	E0	µ	B5	a`	LATIN SMALL LETTER A WITH GRAVE
Ã	U+0000C3	AÕ	41 D5	‚	82	Ã	C3	A·	41 B7	A~	LATIN CAPITAL LETTER A WITH TILDE
ã	U+0000E3	aõ	61 F5	ã	E3	ã	E3	·	B7	a~	LATIN SMALL LETTER A WITH TILDE
Đ	U+000110	Ñ	D1	ñ	F1	Ð	D0	§	A7	DD	LATIN CAPITAL LETTER D WITH STROKE
đ	U+000111	ñ	F1	Ç	C7	ð	F0	®	AE	dd	LATIN SMALL LETTER D WITH STROKE
É	U+0000C9	EÙ	45 D9	É	C9	É	C9	EÐ	45 D0	E'	LATIN CAPITAL LETTER E WITH ACUTE
é	U+0000E9	eù	65 F9	é	E9	é	E9	Ð	D0	e'	LATIN SMALL LETTER E WITH ACUTE
Ẹ	U+001EB8	EÏ	45 CF		5	‰	89	EÑ	45 D1	E.	LATIN CAPITAL LETTER E WITH DOT BELOW
ẹ	U+001EB9	eï	65 EF	Ë	CB	©	A9	Ñ	D1	e.	LATIN SMALL LETTER E WITH DOT BELOW
Ẻ	U+001EBA	EÛ	45 DB	Þ	DE	Ë	CB	EÎ	45 CE	E?	LATIN CAPITAL LETTER E WITH HOOK ABOVE
ẻ	U+001EBB	eû	65 FB	È	C8	ë	EB	Î	CE	e?	LATIN SMALL LETTER E WITH HOOK ABOVE
Ê	U+0000CA	EÂ	45 C2	Ê	CA	Ê	CA	£	A3	E^	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
ê	U+0000EA	eâ	65 E2	ê	EA	ê	EA	ª	AA	e^	LATIN SMALL LETTER E WITH CIRCUMFLEX
Ế	U+001EBE	EÁ	45 C1		90	Š	8A	£Õ	A3 D5	E^'	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
ế	U+001EBF	eá	65 E1	‰	89	ª	AA	Õ	D5	e^'	LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
Ệ	U+001EC6	EÄ	45 C4		6	Ž	8E	£Ö	A3 D6	E^.	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
ệ	U+001EC7	eä	65 E4	Œ	8C	®	AE	Ö	D6	e^.	LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
Ể	U+001EC2	EÅ	45 C5	”	94	Œ	8C	£Ó	A3 D3	E^?	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
ể	U+001EC3	eå	65 E5	‹	8B	¬	AC	Ó	D3	e^?	LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
Ề	U+001EC0	EÀ	45 C0	“	93	‹	8B	£Ò	A3 D2	E^`	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
ề	U+001EC1	eà	65 E0	Š	8A	«	AB	Ò	D2	e^`	LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
Ễ	U+001EC4	EÃ	45 C3	•	95		8D	£Ô	A3 D4	E^~	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
ễ	U+001EC5	eã	65 E3	Í	CD	­	AD	Ô	D4	e^~	LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
È	U+0000C8	EØ	45 D8	×	D7	È	C8	EÌ	45 CC	E`	LATIN CAPITAL LETTER E WITH GRAVE
è	U+0000E8	eø	65 F8	è	E8	è	E8	Ì	CC	e`	LATIN SMALL LETTER E WITH GRAVE
Ẽ	U+001EBC	EÕ	45 D5	þ	FE	ˆ	88	EÏ	45 CF	E~	LATIN CAPITAL LETTER E WITH TILDE
ẽ	U+001EBD	eõ	65 F5	ë	EB	¨	A8	Ï	CF	e~	LATIN SMALL LETTER E WITH TILDE
Í	U+0000CD	Í	CD	´	B4	Í	CD	IÝ	49 DD	I'	LATIN CAPITAL LETTER I WITH ACUTE
í	U+0000ED	í	ED	í	ED	í	ED	Ý	DD	i'	LATIN SMALL LETTER I WITH ACUTE
Ị	U+001ECA	Ò	D2		10	˜	98	IÞ	49 DE	I.	LATIN CAPITAL LETTER I WITH DOT BELOW
ị	U+001ECB	ò	F2	Î	CE	¸	B8	Þ	DE	i.	LATIN SMALL LETTER I WITH DOT BELOW
Ỉ	U+001EC8	Æ	C6	·	B7	›	9B	IØ	49 D8	I?	LATIN CAPITAL LETTER I WITH HOOK ABOVE
ỉ	U+001EC9	æ	E6	Ì	CC	ï	EF	Ø	D8	i?	LATIN SMALL LETTER I WITH HOOK ABOVE
Ì	U+0000CC	Ì	CC	µ	B5	Ì	CC	I×	49 D7	I`	LATIN CAPITAL LETTER I WITH GRAVE
ì	U+0000EC	ì	EC	ì	EC	ì	EC	×	D7	i`	LATIN SMALL LETTER I WITH GRAVE
